Anime,Character,Role,Favorites,char_url
Shigatsu wa Kimi no Uso,"Watari, Ryouta",Main,320,https://myanimelist.net/character/69405/Ryouta_Watari
Made in Abyss,Reg,Main,2122,https://myanimelist.net/character/140046/Reg
Made in Abyss,Riko,Main,1001,https://myanimelist.net/character/137239/Riko
Natsume Yuujinchou Shi,Madara,Main,4960,https://myanimelist.net/character/13784/Madara
Natsume Yuujinchou Shi,"Natsume, Takashi",Main,9972,https://myanimelist.net/character/13783/Takashi_Natsume
Tengen Toppa Gurren Lagann,Kamina,Main,33240,https://myanimelist.net/character/2075/Kamina
Tengen Toppa Gurren Lagann,"Littner, Yoko",Main,6088,https://myanimelist.net/character/2063/Yoko_Littner
Tengen Toppa Gurren Lagann,Simon,Main,15727,https://myanimelist.net/character/2257/Simon
Tengen Toppa Gurren Lagann,"Teppelin, Nia",Main,2650,https://myanimelist.net/character/2761/Nia_Teppelin
Death Note,"Lawliet, L",Main,126911,https://myanimelist.net/character/71/L_Lawliet
Death Note,Ryuk,Main,12387,https://myanimelist.net/character/75/Ryuk
Death Note,"Yagami, Light",Main,96700,https://myanimelist.net/character/80/Light_Yagami
Ping Pong the Animation,"Hoshino, Yutaka",Main,2279,https://myanimelist.net/character/20326/Yutaka_Hoshino
Ping Pong the Animation,"Tsukimoto, Makoto",Main,1643,https://myanimelist.net/character/20325/Makoto_Tsukimoto
Dungeon Meshi,"Donato, Marcille",Main,1872,https://myanimelist.net/character/134263/Marcille_Donato
Dungeon Meshi,Senshi,Main,1059,https://myanimelist.net/character/134265/Senshi
Dungeon Meshi,"Tims, Chilchuck",Main,336,https://myanimelist.net/character/134264/Chilchuck_Tims
Dungeon Meshi,"Touden, Laios",Main,1636,https://myanimelist.net/character/134262/Laios_Touden
Suzumiya Haruhi no Shoushitsu,Kyon,Main,10561,https://myanimelist.net/character/252/Kyon
Suzumiya Haruhi no Shoushitsu,"Nagato, Yuki",Main,9012,https://myanimelist.net/character/249/Yuki_Nagato
Shin Evangelion Movie:||,"Ayanami (tentative), Rei",Main,392,https://myanimelist.net/character/162259/Rei_Ayanami_tentative
Shin Evangelion Movie:||,"Ikari, Shinji",Main,19768,https://myanimelist.net/character/89/Shinji_Ikari
Shin Evangelion Movie:||,"Souryuu, Asuka Langley",Main,28348,https://myanimelist.net/character/94/Asuka_Langley_Souryuu
Kenpuu Denki Berserk,Casca,Main,4430,https://myanimelist.net/character/423/Casca
Kenpuu Denki Berserk,Griffith,Main,15325,https://myanimelist.net/character/424/Griffith
